분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/policy-bodies/SP-NAT-POLICY-KFS_v1.1.md,SP-NAT-POLICY-KFS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-PSS_v1.1.md,SP-NAT-POLICY-PSS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOCEE_v1.1.md,SP-NAT-POLICY-MOCEE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-OPC_v1.1.md,SP-NAT-POLICY-OPC_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KHS_v1.1.md,SP-NAT-POLICY-KHS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-NAS_v1.1.md,SP-NAT-POLICY-NAS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-PPS_v1.1.md,SP-NAT-POLICY-PPS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-SUPREMECOURT_v1.1.md,SP-NAT-POLICY-SUPREMECOURT_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MSIT_v1.1.md,SP-NAT-POLICY-MSIT_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOFE_v1.1.md,SP-NAT-POLICY-MOFE_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MOHW_v1.1.md,SP-NAT-POLICY-MOHW_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-JPRI_v1.1.md,SP-NAT-POLICY-JPRI_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-CONSTCOURT_v1.1.md,SP-NAT-POLICY-CONSTCOURT_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-UNIKOREA_v1.1.md,SP-NAT-POLICY-UNIKOREA_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-MSS_v1.1.md,SP-NAT-POLICY-MSS_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KCG_v1.1.md,SP-NAT-POLICY-KCG_v1.1,Y,N,미착수,,,
09-national,09-national/policy-bodies/SP-NAT-POLICY-KCS_v1.1.md,SP-NAT-POLICY-KCS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SMGC_v1.1.md,SP-NAT-OTHER-SMGC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-PNUDH_v1.1.md,SP-NAT-OTHER-PNUDH_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-GUKAK_v1.1.md,SP-NAT-OTHER-GUKAK_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-OKCC_v1.1.md,SP-NAT-OTHER-OKCC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-ARKO_v1.1.md,SP-NAT-OTHER-ARKO_v1.1,Y,N,미착수,,,
